Namespace(activ='relu', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=10, conv_mode='classic', cutout=8, dataset=['cifar10'], epochs=200, filters=64, gamma=0.5, history=1, iter=14, learning_rate=0.1, min_lr=0.0001, model='res_thrifty', momentum=0.9, n_params=None, name='vanillaC10', nesterov=True, optimizer='sgd', out_mode='pool', patience=8, pool=[3], resume=None, seed=437546, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39334
Filters : 64
*******
epoch : 37, time : 0.8460052172342937, train_loss : 296.5868835449219, train_acc(top1) : 39719.0, test_loss : 0.569347038269043, test_acc(top1) : 80.66999816894531, 
epoch : 38, time : 0.8536972045898438, train_loss : 274.03509521484375, train_acc(top1) : 40419.0, test_loss : 0.5048768836259842, test_acc(top1) : 82.80000305175781, 
epoch : 39, time : 0.8112620552380879, train_loss : 269.2792053222656, train_acc(top1) : 40552.0, test_loss : 0.48543314531445503, test_acc(top1) : 83.75, 
epoch : 40, time : 0.7929365237553915, train_loss : 266.75347900390625, train_acc(top1) : 40720.0, test_loss : 0.5049155184626579, test_acc(top1) : 82.9800033569336, 
epoch : 41, time : 0.7793121139208475, train_loss : 266.4413757324219, train_acc(top1) : 40764.0, test_loss : 0.5056401459872722, test_acc(top1) : 82.80999755859375, 
epoch : 42, time : 0.7782700459162394, train_loss : 264.9737548828125, train_acc(top1) : 40729.0, test_loss : 0.5100168922543525, test_acc(top1) : 82.87000274658203, 
epoch : 43, time : 0.7835415244102478, train_loss : 266.03582763671875, train_acc(top1) : 40771.0, test_loss : 0.514051725268364, test_acc(top1) : 82.56999969482422, 
epoch : 44, time : 0.777050769329071, train_loss : 264.1723327636719, train_acc(top1) : 40766.0, test_loss : 0.4873818528652191, test_acc(top1) : 83.3499984741211, 
epoch : 45, time : 0.7733646670977274, train_loss : 261.6983337402344, train_acc(top1) : 40924.0, test_loss : 0.4891844490170479, test_acc(top1) : 83.44999694824219, 
epoch : 46, time : 0.7771050413449605, train_loss : 262.7500915527344, train_acc(top1) : 40894.0, test_loss : 0.4851625826954842, test_acc(top1) : 83.47000122070312, 
epoch : 47, time : 0.8005384842554728, train_loss : 250.2556915283203, train_acc(top1) : 41248.0, test_loss : 0.4540344642102718, test_acc(top1) : 84.58999633789062, 
epoch : 48, time : 0.8463861147562662, train_loss : 247.53396606445312, train_acc(top1) : 41447.0, test_loss : 0.45733692348003385, test_acc(top1) : 84.5199966430664, 
epoch : 49, time : 0.7997948964436848, train_loss : 246.0968475341797, train_acc(top1) : 41435.0, test_loss : 0.45964028030633924, test_acc(top1) : 84.08999633789062, 
epoch : 50, time : 0.7815540353457133, train_loss : 246.40455627441406, train_acc(top1) : 41411.0, test_loss : 0.46383056566119196, test_acc(top1) : 84.30000305175781, 
epoch : 51, time : 0.7763298988342285, train_loss : 242.60458374023438, train_acc(top1) : 41496.0, test_loss : 0.4502993834018707, test_acc(top1) : 84.26000213623047, 
epoch : 52, time : 0.7906544168790182, train_loss : 241.87490844726562, train_acc(top1) : 41461.0, test_loss : 0.45839461594820025, test_acc(top1) : 84.54000091552734, 
epoch : 53, time : 0.7690008560816447, train_loss : 244.07691955566406, train_acc(top1) : 41520.0, test_loss : 0.4512921032309532, test_acc(top1) : 84.45999908447266, 
epoch : 54, time : 0.772326401869456, train_loss : 243.31137084960938, train_acc(top1) : 41471.0, test_loss : 0.44681926190853116, test_acc(top1) : 84.73999786376953, 
epoch : 55, time : 0.7705408652623494, train_loss : 240.9972381591797, train_acc(top1) : 41620.0, test_loss : 0.4505595588684082, test_acc(top1) : 84.52999877929688, 
epoch : 56, time : 0.7862933715184529, train_loss : 235.16653442382812, train_acc(top1) : 41825.0, test_loss : 0.4389497277140617, test_acc(top1) : 85.0199966430664, 
epoch : 57, time : 0.764630663394928, train_loss : 229.16563415527344, train_acc(top1) : 42038.0, test_loss : 0.43714134112000463, test_acc(top1) : 85.05999755859375, 
epoch : 58, time : 0.7649931311607361, train_loss : 232.65444946289062, train_acc(top1) : 41901.0, test_loss : 0.43676884591579435, test_acc(top1) : 84.87999725341797, 
epoch : 59, time : 0.7642117420832316, train_loss : 231.00009155273438, train_acc(top1) : 42019.0, test_loss : 0.4613714882731438, test_acc(top1) : 84.31999969482422, 
epoch : 60, time : 0.7657913962999979, train_loss : 228.91159057617188, train_acc(top1) : 42080.0, test_loss : 0.44239175468683245, test_acc(top1) : 84.98999786376953, 
epoch : 61, time : 0.7629072149594625, train_loss : 228.6949462890625, train_acc(top1) : 41951.0, test_loss : 0.4341850262880325, test_acc(top1) : 85.37999725341797, 
epoch : 62, time : 0.769119660059611, train_loss : 227.99420166015625, train_acc(top1) : 41986.0, test_loss : 0.4345613095164299, test_acc(top1) : 85.18000030517578, 
epoch : 63, time : 0.764832063515981, train_loss : 227.8352508544922, train_acc(top1) : 42153.0, test_loss : 0.431449503749609, test_acc(top1) : 85.44000244140625, 
epoch : 64, time : 0.764887523651123, train_loss : 227.99110412597656, train_acc(top1) : 42042.0, test_loss : 0.4396187862753868, test_acc(top1) : 84.98999786376953, 
epoch : 65, time : 0.8487601161003113, train_loss : 225.32179260253906, train_acc(top1) : 42158.0, test_loss : 0.42869150608778, test_acc(top1) : 85.22000122070312, 
epoch : 66, time : 0.8330100655555726, train_loss : 221.8577423095703, train_acc(top1) : 42242.0, test_loss : 0.4274684292078018, test_acc(top1) : 85.55000305175781, 
epoch : 67, time : 0.8339133461316427, train_loss : 221.4229278564453, train_acc(top1) : 42328.0, test_loss : 0.41949538230895994, test_acc(top1) : 85.83999633789062, 
epoch : 68, time : 0.8343040307362874, train_loss : 221.99253845214844, train_acc(top1) : 42235.0, test_loss : 0.4253977000713348, test_acc(top1) : 85.4800033569336, 
epoch : 69, time : 0.8364980697631836, train_loss : 221.9810028076172, train_acc(top1) : 42244.0, test_loss : 0.4242447404563427, test_acc(top1) : 85.55000305175781, 
epoch : 70, time : 0.837692121664683, train_loss : 221.4325714111328, train_acc(top1) : 42315.0, test_loss : 0.4210515888035297, test_acc(top1) : 85.80999755859375, 
epoch : 71, time : 0.8364089091618856, train_loss : 219.93173217773438, train_acc(top1) : 42309.0, test_loss : 0.42623036324977875, test_acc(top1) : 85.3499984741211, 
epoch : 72, time : 0.8355197866757711, train_loss : 221.98252868652344, train_acc(top1) : 42320.0, test_loss : 0.44224369794130325, test_acc(top1) : 85.11000061035156, 
epoch : 73, time : 0.8097112059593201, train_loss : 219.46644592285156, train_acc(top1) : 42344.0, test_loss : 0.42417915642261506, test_acc(top1) : 85.5, 
epoch : 74, time : 0.7664553085962932, train_loss : 220.29281616210938, train_acc(top1) : 42294.0, test_loss : 0.4179975090920925, test_acc(top1) : 85.63999938964844, 
epoch : 75, time : 0.7660902818044026, train_loss : 218.36077880859375, train_acc(top1) : 42359.0, test_loss : 0.41804504916071894, test_acc(top1) : 85.61000061035156, 
epoch : 76, time : 0.7687784194946289, train_loss : 218.27540588378906, train_acc(top1) : 42337.0, test_loss : 0.4175809744000435, test_acc(top1) : 85.48999786376953, 
epoch : 77, time : 0.8635577479998271, train_loss : 217.7107696533203, train_acc(top1) : 42319.0, test_loss : 0.4218318872153759, test_acc(top1) : 85.54000091552734, 
epoch : 78, time : 0.7894850015640259, train_loss : 216.07969665527344, train_acc(top1) : 42468.0, test_loss : 0.41873457431793215, test_acc(top1) : 85.80000305175781, 
epoch : 79, time : 0.7831273118654887, train_loss : 217.20315551757812, train_acc(top1) : 42462.0, test_loss : 0.42708995565772057, test_acc(top1) : 85.62000274658203, 
epoch : 80, time : 0.8632488568623861, train_loss : 215.3739776611328, train_acc(top1) : 42567.0, test_loss : 0.4203108708560467, test_acc(top1) : 85.81999969482422, 
epoch : 81, time : 0.8126508633295695, train_loss : 217.72213745117188, train_acc(top1) : 42378.0, test_loss : 0.4188198511302471, test_acc(top1) : 85.80999755859375, 
epoch : 82, time : 0.8603533307711283, train_loss : 215.38438415527344, train_acc(top1) : 42486.0, test_loss : 0.420608607083559, test_acc(top1) : 86.0, 
epoch : 83, time : 0.8401785691579183, train_loss : 214.13218688964844, train_acc(top1) : 42513.0, test_loss : 0.41432389825582505, test_acc(top1) : 85.77999877929688, 
epoch : 84, time : 0.8282993555068969, train_loss : 217.2070770263672, train_acc(top1) : 42462.0, test_loss : 0.4163877746462822, test_acc(top1) : 85.91000366210938, 
epoch : 85, time : 0.8065508246421814, train_loss : 214.59152221679688, train_acc(top1) : 42543.0, test_loss : 0.4141335503757, test_acc(top1) : 85.83000183105469, 
epoch : 86, time : 0.8121878107388815, train_loss : 214.38299560546875, train_acc(top1) : 42544.0, test_loss : 0.4151338265836239, test_acc(top1) : 85.93000030517578, 
epoch : 87, time : 0.8005698601404826, train_loss : 213.8986053466797, train_acc(top1) : 42555.0, test_loss : 0.4183889803290367, test_acc(top1) : 85.77999877929688, 
epoch : 88, time : 0.8011188228925069, train_loss : 216.30905151367188, train_acc(top1) : 42443.0, test_loss : 0.4163586837053299, test_acc(top1) : 85.79000091552734, 
epoch : 89, time : 0.8057427406311035, train_loss : 214.7261505126953, train_acc(top1) : 42524.0, test_loss : 0.42409061700105666, test_acc(top1) : 85.36000061035156, 
epoch : 90, time : 0.7855477809906006, train_loss : 213.98150634765625, train_acc(top1) : 42490.0, test_loss : 0.4145534552633762, test_acc(top1) : 85.62000274658203, 
epoch : 91, time : 0.8053574363390604, train_loss : 215.14447021484375, train_acc(top1) : 42486.0, test_loss : 0.4117431744933128, test_acc(top1) : 85.95999908447266, 
epoch : 92, time : 0.7866048375765483, train_loss : 213.874267578125, train_acc(top1) : 42552.0, test_loss : 0.42362907439470293, test_acc(top1) : 85.75, 
epoch : 93, time : 0.7812794923782349, train_loss : 214.63096618652344, train_acc(top1) : 42543.0, test_loss : 0.4160210095345974, test_acc(top1) : 85.86000061035156, 
epoch : 94, time : 0.7895841280619303, train_loss : 213.47727966308594, train_acc(top1) : 42522.0, test_loss : 0.41790955409407615, test_acc(top1) : 85.83999633789062, 
epoch : 95, time : 0.7831386844317119, train_loss : 214.82566833496094, train_acc(top1) : 42508.0, test_loss : 0.41290395095944404, test_acc(top1) : 85.7699966430664, 
epoch : 96, time : 0.7823234121004741, train_loss : 212.57827758789062, train_acc(top1) : 42598.0, test_loss : 0.4146234200894833, test_acc(top1) : 85.8499984741211, 
epoch : 97, time : 0.7820161819458008, train_loss : 212.16355895996094, train_acc(top1) : 42647.0, test_loss : 0.4136390642821789, test_acc(top1) : 85.79000091552734, 
epoch : 98, time : 0.7809740980466207, train_loss : 214.03578186035156, train_acc(top1) : 42570.0, test_loss : 0.4145107479393482, test_acc(top1) : 85.6500015258789, 
epoch : 99, time : 0.7844327847162883, train_loss : 211.30380249023438, train_acc(top1) : 42643.0, test_loss : 0.42345508754253386, test_acc(top1) : 85.75, 
epoch : 100, time : 0.7896323283513387, train_loss : 211.65025329589844, train_acc(top1) : 42657.0, test_loss : 0.4122592833638191, test_acc(top1) : 85.94999694824219, 
epoch : 101, time : 0.7859697024027507, train_loss : 212.17034912109375, train_acc(top1) : 42621.0, test_loss : 0.41302149429917334, test_acc(top1) : 85.88999938964844, 
epoch : 102, time : 0.767814560731252, train_loss : 214.1008758544922, train_acc(top1) : 42552.0, test_loss : 0.4166995546221733, test_acc(top1) : 85.63999938964844, 
epoch : 103, time : 0.7642281730969747, train_loss : 212.94839477539062, train_acc(top1) : 42542.0, test_loss : 0.4128582724928856, test_acc(top1) : 85.72000122070312, 
epoch : 104, time : 0.7635648846626282, train_loss : 214.3572998046875, train_acc(top1) : 42561.0, test_loss : 0.4132042281329632, test_acc(top1) : 85.7300033569336, 
epoch : 105, time : 0.821931803226471, train_loss : 214.13851928710938, train_acc(top1) : 42515.0, test_loss : 0.4133629305660725, test_acc(top1) : 86.0, 
epoch : 106, time : 0.780113689104716, train_loss : 214.91323852539062, train_acc(top1) : 42557.0, test_loss : 0.41193241089582444, test_acc(top1) : 85.97000122070312, 
epoch : 107, time : 0.7667101422945658, train_loss : 212.5055389404297, train_acc(top1) : 42555.0, test_loss : 0.41207377150654795, test_acc(top1) : 85.76000213623047, 
epoch : 108, time : 0.7624902407328288, train_loss : 211.21664428710938, train_acc(top1) : 42602.0, test_loss : 0.41247176319360734, test_acc(top1) : 85.97000122070312, 
epoch : 109, time : 0.7628420035044352, train_loss : 212.73211669921875, train_acc(top1) : 42560.0, test_loss : 0.42059012115001676, test_acc(top1) : 85.69999694824219, 
epoch : 110, time : 0.7621467351913452, train_loss : 212.759765625, train_acc(top1) : 42595.0, test_loss : 0.41345927193760873, test_acc(top1) : 85.87000274658203, 
epoch : 111, time : 0.7611315250396729, train_loss : 212.38189697265625, train_acc(top1) : 42582.0, test_loss : 0.4132363173365593, test_acc(top1) : 85.70999908447266, 
epoch : 112, time : 0.7787582317988078, train_loss : 213.22227478027344, train_acc(top1) : 42531.0, test_loss : 0.4115713602304459, test_acc(top1) : 85.7699966430664, 
epoch : 113, time : 0.7683207114537557, train_loss : 213.53326416015625, train_acc(top1) : 42517.0, test_loss : 0.41235570669174193, test_acc(top1) : 85.80999755859375, 
epoch : 114, time : 0.7672499299049378, train_loss : 211.45083618164062, train_acc(top1) : 42625.0, test_loss : 0.4121198213100433, test_acc(top1) : 85.83000183105469, 
epoch : 115, time : 0.7697356661160787, train_loss : 210.85830688476562, train_acc(top1) : 42687.0, test_loss : 0.41160812601447105, test_acc(top1) : 85.70999908447266, 
epoch : 116, time : 0.7633559703826904, train_loss : 211.52403259277344, train_acc(top1) : 42648.0, test_loss : 0.41268033146858213, test_acc(top1) : 85.79000091552734, 
epoch : 117, time : 0.7604217330614725, train_loss : 211.81369018554688, train_acc(top1) : 42588.0, test_loss : 0.414513900578022, test_acc(top1) : 85.86000061035156, 
epoch : 118, time : 0.7648885210355123, train_loss : 212.6864013671875, train_acc(top1) : 42617.0, test_loss : 0.4090063726902008, test_acc(top1) : 86.0199966430664, 
epoch : 119, time : 0.7576583902041117, train_loss : 210.33457946777344, train_acc(top1) : 42657.0, test_loss : 0.4193562798202038, test_acc(top1) : 85.7699966430664, 
epoch : 120, time : 0.7603647947311402, train_loss : 213.51124572753906, train_acc(top1) : 42550.0, test_loss : 0.41214559704065323, test_acc(top1) : 85.76000213623047, 
epoch : 121, time : 0.7595650951067606, train_loss : 212.07562255859375, train_acc(top1) : 42588.0, test_loss : 0.4130330216884613, test_acc(top1) : 85.88999938964844, 
epoch : 122, time : 0.8022440036137899, train_loss : 210.4968719482422, train_acc(top1) : 42671.0, test_loss : 0.4125941985845566, test_acc(top1) : 85.88999938964844, 
epoch : 123, time : 0.8320369799931844, train_loss : 213.62872314453125, train_acc(top1) : 42529.0, test_loss : 0.414996420443058, test_acc(top1) : 85.86000061035156, 
epoch : 124, time : 0.8205957293510437, train_loss : 211.4003448486328, train_acc(top1) : 42605.0, test_loss : 0.41593665674328806, test_acc(top1) : 85.79000091552734, 
epoch : 125, time : 0.7733651916186015, train_loss : 210.4825897216797, train_acc(top1) : 42691.0, test_loss : 0.4156317749619484, test_acc(top1) : 85.6500015258789, 
epoch : 126, time : 0.776001513004303, train_loss : 211.87510681152344, train_acc(top1) : 42611.0, test_loss : 0.41624983623623846, test_acc(top1) : 85.80000305175781, 
epoch : 127, time : 0.7728691538174947, train_loss : 210.4056854248047, train_acc(top1) : 42652.0, test_loss : 0.4121117447316647, test_acc(top1) : 85.77999877929688, 
epoch : 128, time : 0.7775438308715821, train_loss : 213.3468017578125, train_acc(top1) : 42599.0, test_loss : 0.4083135771751404, test_acc(top1) : 85.80000305175781, 
epoch : 129, time : 0.7737865527470906, train_loss : 211.6841583251953, train_acc(top1) : 42655.0, test_loss : 0.4135006067156792, test_acc(top1) : 85.80999755859375, 
epoch : 130, time : 0.7770078579584757, train_loss : 212.8604736328125, train_acc(top1) : 42486.0, test_loss : 0.4182594795525074, test_acc(top1) : 85.83000183105469, 
epoch : 131, time : 0.77475559314092, train_loss : 212.7462921142578, train_acc(top1) : 42542.0, test_loss : 0.41139102935791017, test_acc(top1) : 85.75, 
epoch : 132, time : 0.7828011234601339, train_loss : 211.9990692138672, train_acc(top1) : 42630.0, test_loss : 0.41266631707549095, test_acc(top1) : 85.83000183105469, 
epoch : 133, time : 0.7687228600184123, train_loss : 210.6787109375, train_acc(top1) : 42722.0, test_loss : 0.41361931785941125, test_acc(top1) : 85.86000061035156, 
epoch : 134, time : 0.7631973346074422, train_loss : 211.1707000732422, train_acc(top1) : 42623.0, test_loss : 0.41221465095877646, test_acc(top1) : 86.04000091552734, 
epoch : 135, time : 0.7582204461097717, train_loss : 211.5064697265625, train_acc(top1) : 42605.0, test_loss : 0.41178528770804407, test_acc(top1) : 85.93000030517578, 
