Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool4_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[6], resume=None, seed=273332, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 1, lr : 0.1, epoch_time : 2.2741607228914895, train_loss : 1.7077248096466064, train_acc(top1) : 34.62799835205078, test_loss : 1.8804520217895508, test_acc(top1) : 35.33000183105469, 
Epoch : 2, lr : 0.1, epoch_time : 2.276430869102478, train_loss : 1.0303664207458496, train_acc(top1) : 48.9379997253418, test_loss : 1.3819314399719238, test_acc(top1) : 49.869998931884766, 
Epoch : 3, lr : 0.1, epoch_time : 2.2787400603294374, train_loss : 1.3545584678649902, train_acc(top1) : 57.599998474121094, test_loss : 1.405984001159668, test_acc(top1) : 51.779998779296875, 
Epoch : 4, lr : 0.1, epoch_time : 2.278012804190318, train_loss : 0.9396518468856812, train_acc(top1) : 63.34199905395508, test_loss : 1.03124140625, test_acc(top1) : 63.119998931884766, 
Epoch : 5, lr : 0.1, epoch_time : 2.278062578042348, train_loss : 0.8265001177787781, train_acc(top1) : 67.052001953125, test_loss : 0.9265818870544433, test_acc(top1) : 67.5999984741211, 
Epoch : 6, lr : 0.1, epoch_time : 2.278247865041097, train_loss : 0.9683479070663452, train_acc(top1) : 69.66999816894531, test_loss : 0.9012971549987793, test_acc(top1) : 68.0999984741211, 
Epoch : 7, lr : 0.1, epoch_time : 2.2789058566093443, train_loss : 0.7353588938713074, train_acc(top1) : 71.18399810791016, test_loss : 0.9302366897583008, test_acc(top1) : 67.0, 
Epoch : 8, lr : 0.1, epoch_time : 2.2797935962677003, train_loss : 0.8918562531471252, train_acc(top1) : 72.58200073242188, test_loss : 0.9853035106658935, test_acc(top1) : 67.54000091552734, 
Epoch : 9, lr : 0.1, epoch_time : 2.2765392740567525, train_loss : 0.6534850597381592, train_acc(top1) : 73.00800323486328, test_loss : 0.8146518043518066, test_acc(top1) : 71.87999725341797, 
Epoch : 10, lr : 0.1, epoch_time : 2.276673376560211, train_loss : 0.5250570178031921, train_acc(top1) : 74.12000274658203, test_loss : 0.8513247596740723, test_acc(top1) : 71.01000213623047, 
Epoch : 11, lr : 0.1, epoch_time : 2.2770431359608967, train_loss : 0.7488561868667603, train_acc(top1) : 74.51399993896484, test_loss : 0.8451300197601318, test_acc(top1) : 70.5199966430664, 
Epoch : 12, lr : 0.1, epoch_time : 2.282079033056895, train_loss : 0.5631483197212219, train_acc(top1) : 75.27400207519531, test_loss : 0.8788121997833251, test_acc(top1) : 69.83999633789062, 
Epoch : 13, lr : 0.1, epoch_time : 2.302537218729655, train_loss : 0.8085383772850037, train_acc(top1) : 75.71800231933594, test_loss : 0.8256952548980713, test_acc(top1) : 71.27999877929688, 
Epoch : 14, lr : 0.1, epoch_time : 2.32775616645813, train_loss : 0.7497591376304626, train_acc(top1) : 76.16400146484375, test_loss : 0.9295845466613769, test_acc(top1) : 68.02999877929688, 
Epoch : 15, lr : 0.1, epoch_time : 2.307868842283885, train_loss : 0.8083744645118713, train_acc(top1) : 76.697998046875, test_loss : 0.7647955978393555, test_acc(top1) : 73.48999786376953, 
Epoch : 16, lr : 0.1, epoch_time : 2.2777567982673643, train_loss : 0.5815168619155884, train_acc(top1) : 77.09200286865234, test_loss : 0.8092651672363281, test_acc(top1) : 72.70999908447266, 
Epoch : 17, lr : 0.1, epoch_time : 2.2816481908162434, train_loss : 0.6037184596061707, train_acc(top1) : 77.30999755859375, test_loss : 0.7690061340332032, test_acc(top1) : 72.94000244140625, 
Epoch : 18, lr : 0.1, epoch_time : 2.2788559118906657, train_loss : 0.5805036425590515, train_acc(top1) : 77.62000274658203, test_loss : 0.7068984477996826, test_acc(top1) : 75.22000122070312, 
