Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool2_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[10], resume=None, seed=119738, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 1, lr : 0.1, epoch_time : 3.419555179278056, train_loss : 2.0437703132629395, train_acc(top1) : 18.29800033569336, test_loss : 2.040359394836426, test_acc(top1) : 23.329999923706055, 
Epoch : 2, lr : 0.1, epoch_time : 3.413725169499715, train_loss : 2.0457186698913574, train_acc(top1) : 23.777999877929688, test_loss : 1.9832066802978516, test_acc(top1) : 26.5, 
Epoch : 3, lr : 0.1, epoch_time : 3.4146401047706605, train_loss : 2.0658316612243652, train_acc(top1) : 25.715999603271484, test_loss : 1.9539090377807617, test_acc(top1) : 27.81999969482422, 
Epoch : 4, lr : 0.1, epoch_time : 3.4138312379519147, train_loss : 2.0492072105407715, train_acc(top1) : 25.913999557495117, test_loss : 2.125680418395996, test_acc(top1) : 25.270000457763672, 
Epoch : 5, lr : 0.1, epoch_time : 3.4134877999623616, train_loss : 1.9320979118347168, train_acc(top1) : 28.81800079345703, test_loss : 2.067800897216797, test_acc(top1) : 24.700000762939453, 
Epoch : 6, lr : 0.1, epoch_time : 3.414507516225179, train_loss : 1.8838937282562256, train_acc(top1) : 31.1200008392334, test_loss : 2.0166648223876953, test_acc(top1) : 25.25, 
Epoch : 7, lr : 0.1, epoch_time : 3.4138643304506937, train_loss : 1.8142907619476318, train_acc(top1) : 32.28200149536133, test_loss : 1.9802301986694335, test_acc(top1) : 27.540000915527344, 
Epoch : 8, lr : 0.1, epoch_time : 3.4121263146400453, train_loss : 1.87592351436615, train_acc(top1) : 33.43600082397461, test_loss : 2.206676043701172, test_acc(top1) : 24.75, 
Epoch : 9, lr : 0.1, epoch_time : 3.4126254081726075, train_loss : 1.588039755821228, train_acc(top1) : 35.62200164794922, test_loss : 1.819730809020996, test_acc(top1) : 36.45000076293945, 
Epoch : 10, lr : 0.1, epoch_time : 3.414474380016327, train_loss : 1.8496038913726807, train_acc(top1) : 35.77000045776367, test_loss : 1.774132292175293, test_acc(top1) : 36.209999084472656, 
Epoch : 11, lr : 0.1, epoch_time : 3.414379568894704, train_loss : 1.8312095403671265, train_acc(top1) : 37.63199996948242, test_loss : 1.7210245056152345, test_acc(top1) : 38.459999084472656, 
Epoch : 12, lr : 0.1, epoch_time : 3.4138058344523112, train_loss : 1.589309573173523, train_acc(top1) : 40.395999908447266, test_loss : 1.6666469924926757, test_acc(top1) : 40.47999954223633, 
Epoch : 13, lr : 0.1, epoch_time : 3.411451816558838, train_loss : 1.377266526222229, train_acc(top1) : 42.880001068115234, test_loss : 1.875428367614746, test_acc(top1) : 38.02000045776367, 
Epoch : 14, lr : 0.1, epoch_time : 3.413728415966034, train_loss : 1.4795429706573486, train_acc(top1) : 46.375999450683594, test_loss : 1.5093023933410645, test_acc(top1) : 45.790000915527344, 
Epoch : 15, lr : 0.1, epoch_time : 3.4130841970443724, train_loss : 1.3249752521514893, train_acc(top1) : 49.7760009765625, test_loss : 1.4430185775756836, test_acc(top1) : 48.95000076293945, 
