Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool1_40K', nesterov=True, optimizer='sgd', patience=7, pool=[15], resume=None, seed=608454, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 37, lr : 0.05, epoch_time : 7.9146772464116415, train_loss : 0.5816908478736877, train_acc(top1) : 74.72000122070312, test_loss : 0.7693337398529053, 
Epoch : 38, lr : 0.05, epoch_time : 7.916282757123311, train_loss : 0.5498487949371338, train_acc(top1) : 71.7300033569336, test_loss : 0.8208855167388917, 
Epoch : 39, lr : 0.05, epoch_time : 7.915375065803528, train_loss : 0.5493925213813782, train_acc(top1) : 76.43000030517578, test_loss : 0.6889141254425049, 
Epoch : 40, lr : 0.05, epoch_time : 7.915132749080658, train_loss : 0.44669973850250244, train_acc(top1) : 77.12000274658203, test_loss : 0.667931840133667, 
Epoch : 41, lr : 0.025, epoch_time : 7.915709606806437, train_loss : 0.38126954436302185, train_acc(top1) : 82.0, test_loss : 0.5201243877410888, 
Epoch : 42, lr : 0.025, epoch_time : 7.9156723896662395, train_loss : 0.49192267656326294, train_acc(top1) : 82.9000015258789, test_loss : 0.5144217193603515, 
Epoch : 43, lr : 0.025, epoch_time : 7.915972173213959, train_loss : 0.47083455324172974, train_acc(top1) : 83.19000244140625, test_loss : 0.4913746513366699, 
Epoch : 44, lr : 0.025, epoch_time : 7.914738933245341, train_loss : 0.46567848324775696, train_acc(top1) : 81.95999908447266, test_loss : 0.5344660701751709, 
Epoch : 45, lr : 0.025, epoch_time : 7.916167291005452, train_loss : 0.27638640999794006, train_acc(top1) : 79.31999969482422, test_loss : 0.6178381652832031, 
Epoch : 46, lr : 0.025, epoch_time : 7.916497667630513, train_loss : 0.3297385275363922, train_acc(top1) : 82.37000274658203, test_loss : 0.5189451240539551, 
Epoch : 47, lr : 0.025, epoch_time : 7.915989871819814, train_loss : 0.34525859355926514, train_acc(top1) : 79.80999755859375, test_loss : 0.5778529300689698, 
Epoch : 48, lr : 0.025, epoch_time : 7.915483363469442, train_loss : 0.3992258906364441, train_acc(top1) : 82.2699966430664, test_loss : 0.5259276790618896, 
Epoch : 49, lr : 0.025, epoch_time : 7.915448582172393, train_loss : 0.4157322943210602, train_acc(top1) : 83.70999908447266, test_loss : 0.4808763288497925, 
Epoch : 50, lr : 0.025, epoch_time : 7.9157084941864015, train_loss : 0.451759934425354, train_acc(top1) : 79.62999725341797, test_loss : 0.6086550758361816, 
Epoch : 51, lr : 0.025, epoch_time : 7.916368333498637, train_loss : 0.44765183329582214, train_acc(top1) : 79.13999938964844, test_loss : 0.6205999778747558, 
Epoch : 52, lr : 0.025, epoch_time : 7.914799066384633, train_loss : 0.32161495089530945, train_acc(top1) : 80.69999694824219, test_loss : 0.6023700416564941, 
Epoch : 53, lr : 0.025, epoch_time : 7.9158300717671715, train_loss : 0.45218124985694885, train_acc(top1) : 78.0199966430664, test_loss : 0.689524589920044, 
Epoch : 54, lr : 0.025, epoch_time : 7.914983224868775, train_loss : 0.24554939568042755, train_acc(top1) : 81.44999694824219, test_loss : 0.5432380474090576, 
Epoch : 55, lr : 0.025, epoch_time : 7.915253818035126, train_loss : 0.366087406873703, train_acc(top1) : 82.18000030517578, test_loss : 0.5235110542297363, 
Epoch : 56, lr : 0.025, epoch_time : 7.915978169441223, train_loss : 0.3555259704589844, train_acc(top1) : 83.31999969482422, test_loss : 0.5114011711120605, 
Epoch : 57, lr : 0.025, epoch_time : 7.915038084983825, train_loss : 0.603277325630188, train_acc(top1) : 81.36000061035156, test_loss : 0.5585001300811767, 
Epoch : 58, lr : 0.0125, epoch_time : 7.916197824478149, train_loss : 0.38844820857048035, train_acc(top1) : 86.75, test_loss : 0.39382814025878904, 
Epoch : 59, lr : 0.0125, epoch_time : 7.9160396456718445, train_loss : 0.3694932162761688, train_acc(top1) : 86.16999816894531, test_loss : 0.4109090209960938, 
Epoch : 60, lr : 0.0125, epoch_time : 7.9163308103879295, train_loss : 0.29733937978744507, train_acc(top1) : 86.25, test_loss : 0.4158944160461426, 
Epoch : 61, lr : 0.0125, epoch_time : 7.915643374125163, train_loss : 0.48573851585388184, train_acc(top1) : 86.63999938964844, test_loss : 0.39833173503875735, 
Epoch : 62, lr : 0.0125, epoch_time : 7.915064756075541, train_loss : 0.3775959014892578, train_acc(top1) : 86.58000183105469, test_loss : 0.3981679721832275, 
Epoch : 63, lr : 0.0125, epoch_time : 7.916008134682973, train_loss : 0.17817285656929016, train_acc(top1) : 85.73999786376953, test_loss : 0.41842594108581543, 
Epoch : 64, lr : 0.0125, epoch_time : 7.9151802142461145, train_loss : 0.25756457448005676, train_acc(top1) : 84.0, test_loss : 0.4718839996337891, 
Epoch : 65, lr : 0.0125, epoch_time : 7.9160643776257835, train_loss : 0.47507384419441223, train_acc(top1) : 85.54000091552734, test_loss : 0.45652389011383054, 
Epoch : 66, lr : 0.0125, epoch_time : 7.916196036338806, train_loss : 0.3480696380138397, train_acc(top1) : 86.26000213623047, test_loss : 0.42391355628967287, 
Epoch : 67, lr : 0.00625, epoch_time : 7.916352121035258, train_loss : 0.2750195562839508, train_acc(top1) : 87.88999938964844, test_loss : 0.3741457524299622, 
Epoch : 68, lr : 0.00625, epoch_time : 7.916742293039958, train_loss : 0.18290549516677856, train_acc(top1) : 87.56999969482422, test_loss : 0.3826370059967041, 
Epoch : 69, lr : 0.00625, epoch_time : 7.914464588960012, train_loss : 0.18334509432315826, train_acc(top1) : 87.72000122070312, test_loss : 0.3890330083847046, 
Epoch : 70, lr : 0.00625, epoch_time : 7.915486967563629, train_loss : 0.27420052886009216, train_acc(top1) : 87.0199966430664, test_loss : 0.38994309005737304, 
Epoch : 71, lr : 0.00625, epoch_time : 7.916192849477132, train_loss : 0.13218948245048523, train_acc(top1) : 87.58999633789062, test_loss : 0.3810194736480713, 
Epoch : 72, lr : 0.00625, epoch_time : 7.91543710231781, train_loss : 0.146904855966568, train_acc(top1) : 87.08999633789062, test_loss : 0.414828413105011, 
Epoch : 73, lr : 0.00625, epoch_time : 7.916029230753581, train_loss : 0.25661078095436096, train_acc(top1) : 86.76000213623047, test_loss : 0.4306664291381836, 
Epoch : 74, lr : 0.00625, epoch_time : 7.91583575407664, train_loss : 0.20214210450649261, train_acc(top1) : 87.19999694824219, test_loss : 0.38958128204345704, 
Epoch : 75, lr : 0.00625, epoch_time : 7.915102867285411, train_loss : 0.2523346245288849, train_acc(top1) : 86.47000122070312, test_loss : 0.4234295862197876, 
Epoch : 76, lr : 0.003125, epoch_time : 7.915638371308645, train_loss : 0.11156321316957474, train_acc(top1) : 88.44000244140625, test_loss : 0.37376002855300905, 
Epoch : 77, lr : 0.003125, epoch_time : 7.914906871318817, train_loss : 0.2050004005432129, train_acc(top1) : 88.83000183105469, test_loss : 0.3686129348754883, 
Epoch : 78, lr : 0.003125, epoch_time : 7.9165015578269955, train_loss : 0.05993715301156044, train_acc(top1) : 88.04000091552734, test_loss : 0.37889368839263915, 
Epoch : 79, lr : 0.003125, epoch_time : 7.916461718082428, train_loss : 0.08636972308158875, train_acc(top1) : 87.94999694824219, test_loss : 0.3860444550514221, 
Epoch : 80, lr : 0.003125, epoch_time : 7.914724532763163, train_loss : 0.09694325178861618, train_acc(top1) : 88.29000091552734, test_loss : 0.38246522312164305, 
Epoch : 81, lr : 0.003125, epoch_time : 7.916335745652517, train_loss : 0.14133358001708984, train_acc(top1) : 87.6500015258789, test_loss : 0.41530209255218503, 
Epoch : 82, lr : 0.003125, epoch_time : 7.916480350494385, train_loss : 0.13106302917003632, train_acc(top1) : 88.11000061035156, test_loss : 0.40521421632766724, 
Epoch : 83, lr : 0.003125, epoch_time : 7.915766565004985, train_loss : 0.13567833602428436, train_acc(top1) : 88.11000061035156, test_loss : 0.40765147943496705, 
Epoch : 84, lr : 0.003125, epoch_time : 7.916068740685781, train_loss : 0.08492496609687805, train_acc(top1) : 88.30000305175781, test_loss : 0.3875162878036499, 
Epoch : 85, lr : 0.003125, epoch_time : 7.915526429812114, train_loss : 0.15016046166419983, train_acc(top1) : 88.08000183105469, test_loss : 0.39911693859100345, 
Epoch : 86, lr : 0.0015625, epoch_time : 7.91689373254776, train_loss : 0.16225139796733856, train_acc(top1) : 88.61000061035156, test_loss : 0.38645096311569216, 
Epoch : 87, lr : 0.0015625, epoch_time : 7.917653652032216, train_loss : 0.12845467031002045, train_acc(top1) : 88.6500015258789, test_loss : 0.41224244718551634, 
Epoch : 88, lr : 0.0015625, epoch_time : 7.918105022112528, train_loss : 0.16061680018901825, train_acc(top1) : 88.26000213623047, test_loss : 0.40786922454833985, 
Epoch : 89, lr : 0.0015625, epoch_time : 7.916923407713572, train_loss : 0.09319032728672028, train_acc(top1) : 88.23999786376953, test_loss : 0.4090662448883057, 
Epoch : 90, lr : 0.0015625, epoch_time : 7.917492727438609, train_loss : 0.16356858611106873, train_acc(top1) : 88.36000061035156, test_loss : 0.4049236476898193, 
Epoch : 91, lr : 0.0015625, epoch_time : 7.916450949509938, train_loss : 0.0984879657626152, train_acc(top1) : 88.16999816894531, test_loss : 0.41665717258453366, 
Epoch : 92, lr : 0.0015625, epoch_time : 7.917379713058471, train_loss : 0.16624081134796143, train_acc(top1) : 88.41999816894531, test_loss : 0.41379945125579837, 
Epoch : 93, lr : 0.0015625, epoch_time : 7.917622351646424, train_loss : 0.09695503115653992, train_acc(top1) : 88.18000030517578, test_loss : 0.4138237377166748, 
Epoch : 94, lr : 0.00078125, epoch_time : 7.91715840101242, train_loss : 0.07988390326499939, train_acc(top1) : 88.37999725341797, test_loss : 0.4121452814102173, 
Epoch : 95, lr : 0.00078125, epoch_time : 7.917630139986674, train_loss : 0.06473634392023087, train_acc(top1) : 88.36000061035156, test_loss : 0.42361670179367067, 
Epoch : 96, lr : 0.00078125, epoch_time : 7.917649634679159, train_loss : 0.10198960453271866, train_acc(top1) : 88.20999908447266, test_loss : 0.4214215058326721, 
Epoch : 97, lr : 0.00078125, epoch_time : 7.917963202794393, train_loss : 0.1717362403869629, train_acc(top1) : 88.3499984741211, test_loss : 0.4178754614830017, 
Epoch : 98, lr : 0.00078125, epoch_time : 7.917102964719136, train_loss : 0.07520214468240738, train_acc(top1) : 88.16999816894531, test_loss : 0.4222701641082764, 
Epoch : 99, lr : 0.00078125, epoch_time : 7.91825012365977, train_loss : 0.12865671515464783, train_acc(top1) : 88.2699966430664, test_loss : 0.42395742654800417, 
Epoch : 100, lr : 0.00078125, epoch_time : 7.917833614349365, train_loss : 0.08512143045663834, train_acc(top1) : 88.05000305175781, test_loss : 0.42810730409622194, 
Epoch : 101, lr : 0.00078125, epoch_time : 7.916864347457886, train_loss : 0.08168887346982956, train_acc(top1) : 88.38999938964844, test_loss : 0.4310797957420349, 
Epoch : 102, lr : 0.000390625, epoch_time : 7.916512767473857, train_loss : 0.04163101315498352, train_acc(top1) : 88.37999725341797, test_loss : 0.43221822566986084, 
Epoch : 103, lr : 0.000390625, epoch_time : 7.917617150147756, train_loss : 0.06476693600416183, train_acc(top1) : 88.11000061035156, test_loss : 0.43551894941329955, 
Epoch : 104, lr : 0.000390625, epoch_time : 7.917347157001496, train_loss : 0.1683187335729599, train_acc(top1) : 88.29000091552734, test_loss : 0.43772064409255984, 
Epoch : 105, lr : 0.000390625, epoch_time : 7.918028823534647, train_loss : 0.060073480010032654, train_acc(top1) : 88.41999816894531, test_loss : 0.43513489093780516, 
Epoch : 106, lr : 0.000390625, epoch_time : 7.917835390567779, train_loss : 0.08122240751981735, train_acc(top1) : 88.41999816894531, test_loss : 0.4389257206916809, 
Epoch : 107, lr : 0.000390625, epoch_time : 7.916931617259979, train_loss : 0.14087402820587158, train_acc(top1) : 88.55999755859375, test_loss : 0.4348238130569458, 
Epoch : 108, lr : 0.000390625, epoch_time : 7.917465821901957, train_loss : 0.10770223289728165, train_acc(top1) : 88.33999633789062, test_loss : 0.4416405445098877, 
Epoch : 109, lr : 0.000390625, epoch_time : 7.916477819283803, train_loss : 0.10565336048603058, train_acc(top1) : 88.31999969482422, test_loss : 0.44113145008087157, 
Epoch : 110, lr : 0.0001953125, epoch_time : 7.918967084089915, train_loss : 0.08286376297473907, train_acc(top1) : 88.4000015258789, test_loss : 0.4399442004203796, 
Epoch : 111, lr : 0.0001953125, epoch_time : 7.918548711140951, train_loss : 0.02042764239013195, train_acc(top1) : 88.29000091552734, test_loss : 0.4410105297088623, 
Epoch : 112, lr : 0.0001953125, epoch_time : 7.917121104399363, train_loss : 0.11006659269332886, train_acc(top1) : 88.43000030517578, test_loss : 0.4367204062461853, 
Epoch : 113, lr : 0.0001953125, epoch_time : 7.9172196308771765, train_loss : 0.08377528935670853, train_acc(top1) : 88.2300033569336, test_loss : 0.44364098138809205, 
Epoch : 114, lr : 0.0001953125, epoch_time : 7.917290333906809, train_loss : 0.07815732806921005, train_acc(top1) : 88.26000213623047, test_loss : 0.4390989803314209, 
Epoch : 115, lr : 0.0001953125, epoch_time : 7.916972231864929, train_loss : 0.069943368434906, train_acc(top1) : 88.2300033569336, test_loss : 0.43923287315368653, 
Epoch : 116, lr : 0.0001953125, epoch_time : 7.916578420003256, train_loss : 0.0671914592385292, train_acc(top1) : 88.16000366210938, test_loss : 0.4390316447257996, 
