Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool3_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[7], resume=None, seed=787351, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 1, lr : 0.1, epoch_time : 2.563281949361165, train_loss : 1.338585376739502, train_acc(top1) : 38.90599822998047, test_loss : 1.9273368026733397, test_acc(top1) : 34.529998779296875, 
Epoch : 2, lr : 0.1, epoch_time : 2.559737583001455, train_loss : 1.2184743881225586, train_acc(top1) : 55.06800079345703, test_loss : 1.121701100921631, test_acc(top1) : 60.27000045776367, 
Epoch : 3, lr : 0.1, epoch_time : 2.5599798361460366, train_loss : 1.142807960510254, train_acc(top1) : 61.55400085449219, test_loss : 1.0159215103149415, test_acc(top1) : 63.66999816894531, 
Epoch : 4, lr : 0.1, epoch_time : 2.5640228350957233, train_loss : 1.0590558052062988, train_acc(top1) : 65.89199829101562, test_loss : 1.0063096420288087, test_acc(top1) : 64.94000244140625, 
Epoch : 5, lr : 0.1, epoch_time : 2.5605613509813945, train_loss : 1.2016600370407104, train_acc(top1) : 68.20999908447266, test_loss : 0.9813160171508789, test_acc(top1) : 65.81999969482422, 
Epoch : 6, lr : 0.1, epoch_time : 2.56072248617808, train_loss : 1.2324446439743042, train_acc(top1) : 69.70800018310547, test_loss : 1.0047033950805664, test_acc(top1) : 65.08999633789062, 
Epoch : 7, lr : 0.1, epoch_time : 2.5637062470118206, train_loss : 0.8205274939537048, train_acc(top1) : 71.19599914550781, test_loss : 1.8362353118896484, test_acc(top1) : 46.33000183105469, 
Epoch : 8, lr : 0.1, epoch_time : 2.5630636970202128, train_loss : 0.6567259430885315, train_acc(top1) : 72.02799987792969, test_loss : 0.9495793281555176, test_acc(top1) : 67.13999938964844, 
Epoch : 9, lr : 0.1, epoch_time : 2.566387724876404, train_loss : 0.7658482193946838, train_acc(top1) : 73.24400329589844, test_loss : 1.4361210327148437, test_acc(top1) : 54.13999938964844, 
Epoch : 10, lr : 0.1, epoch_time : 2.5604211926460265, train_loss : 0.6942114233970642, train_acc(top1) : 73.85600280761719, test_loss : 0.9681755210876465, test_acc(top1) : 66.68000030517578, 
Epoch : 11, lr : 0.1, epoch_time : 2.562934609254201, train_loss : 0.6561292409896851, train_acc(top1) : 75.1500015258789, test_loss : 1.0151375946044923, test_acc(top1) : 65.16999816894531, 
Epoch : 12, lr : 0.1, epoch_time : 2.5615318417549133, train_loss : 0.7464494109153748, train_acc(top1) : 75.33399963378906, test_loss : 0.9682084362030029, test_acc(top1) : 67.5999984741211, 
Epoch : 13, lr : 0.1, epoch_time : 2.560894540945689, train_loss : 0.8119817972183228, train_acc(top1) : 75.94000244140625, test_loss : 0.7960956756591797, test_acc(top1) : 71.79000091552734, 
Epoch : 14, lr : 0.1, epoch_time : 2.5609956979751587, train_loss : 0.6970880031585693, train_acc(top1) : 76.7020034790039, test_loss : 0.8765816661834717, test_acc(top1) : 70.37999725341797, 
Epoch : 15, lr : 0.1, epoch_time : 2.560666569073995, train_loss : 0.48167669773101807, train_acc(top1) : 76.88400268554688, test_loss : 0.896347297668457, test_acc(top1) : 69.54000091552734, 
