Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool0_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[40], resume=None, seed=455073, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 1, lr : 0.1, epoch_time : 7.564907042185466, train_loss : 2.069276809692383, train_acc(top1) : 15.661999702453613, test_loss : 2.279257002258301, test_acc(top1) : 16.850000381469727, 
Epoch : 2, lr : 0.1, epoch_time : 7.581492642561595, train_loss : 2.3464934825897217, train_acc(top1) : 18.329999923706055, test_loss : 2.2349509674072268, test_acc(top1) : 18.860000610351562, 
Epoch : 3, lr : 0.1, epoch_time : 7.558927218119304, train_loss : 2.1403391361236572, train_acc(top1) : 20.81599998474121, test_loss : 2.0295662948608397, test_acc(top1) : 24.579999923706055, 
Epoch : 4, lr : 0.1, epoch_time : 7.560207025210063, train_loss : 2.262235164642334, train_acc(top1) : 18.0939998626709, test_loss : 2.2470607009887695, test_acc(top1) : 15.630000114440918, 
Epoch : 5, lr : 0.1, epoch_time : 7.55935363372167, train_loss : 2.1518075466156006, train_acc(top1) : 18.38800048828125, test_loss : 2.753550196838379, test_acc(top1) : 11.289999961853027, 
Epoch : 6, lr : 0.1, epoch_time : 7.576034692923228, train_loss : 2.236314535140991, train_acc(top1) : 19.02199935913086, test_loss : 2.3437514877319336, test_acc(top1) : 12.09000015258789, 
Epoch : 7, lr : 0.1, epoch_time : 7.548614346981049, train_loss : 2.188258171081543, train_acc(top1) : 19.040000915527344, test_loss : 2.115771015930176, test_acc(top1) : 21.309999465942383, 
Epoch : 8, lr : 0.1, epoch_time : 7.531647455692291, train_loss : 2.396253824234009, train_acc(top1) : 18.899999618530273, test_loss : 2.105444561767578, test_acc(top1) : 21.31999969482422, 
Epoch : 9, lr : 0.1, epoch_time : 7.542222948869069, train_loss : 2.0988478660583496, train_acc(top1) : 19.618000030517578, test_loss : 2.18569345703125, test_acc(top1) : 17.15999984741211, 
Epoch : 10, lr : 0.1, epoch_time : 7.558557283878327, train_loss : 2.1424741744995117, train_acc(top1) : 18.128000259399414, test_loss : 2.088414958190918, test_acc(top1) : 23.1299991607666, 
Epoch : 11, lr : 0.1, epoch_time : 7.566236400604248, train_loss : 2.2085607051849365, train_acc(top1) : 16.468000411987305, test_loss : 2.240563807678223, test_acc(top1) : 13.420000076293945, 
Epoch : 12, lr : 0.05, epoch_time : 7.551731256643931, train_loss : 2.158886432647705, train_acc(top1) : 16.191999435424805, test_loss : 4.0407552154541015, test_acc(top1) : 10.0, 
Epoch : 13, lr : 0.05, epoch_time : 7.565303997198741, train_loss : 2.1254897117614746, train_acc(top1) : 19.261999130249023, test_loss : 2.1179398590087892, test_acc(top1) : 18.549999237060547, 
Epoch : 14, lr : 0.05, epoch_time : 7.559414466222127, train_loss : 2.1631674766540527, train_acc(top1) : 19.277999877929688, test_loss : 2.1740139236450196, test_acc(top1) : 19.25, 
Epoch : 15, lr : 0.05, epoch_time : 7.547361965974172, train_loss : 2.0744261741638184, train_acc(top1) : 19.398000717163086, test_loss : 2.2171629821777343, test_acc(top1) : 16.729999542236328, 
Epoch : 16, lr : 0.05, epoch_time : 7.5419104615847266, train_loss : 2.126067638397217, train_acc(top1) : 19.648000717163086, test_loss : 2.1531583892822264, test_acc(top1) : 18.739999771118164, 
Epoch : 17, lr : 0.05, epoch_time : 7.543334070841471, train_loss : 2.2044577598571777, train_acc(top1) : 20.507999420166016, test_loss : 2.1294890151977537, test_acc(top1) : 19.440000534057617, 
Epoch : 18, lr : 0.05, epoch_time : 7.560311396916707, train_loss : 1.978696584701538, train_acc(top1) : 21.761999130249023, test_loss : 2.0717720428466797, test_acc(top1) : 21.81999969482422, 
Epoch : 19, lr : 0.05, epoch_time : 7.540637187163035, train_loss : 2.079237461090088, train_acc(top1) : 22.148000717163086, test_loss : 2.138772302246094, test_acc(top1) : 20.520000457763672, 
Epoch : 20, lr : 0.025, epoch_time : 7.542780637741089, train_loss : 2.0559935569763184, train_acc(top1) : 24.43000030517578, test_loss : 2.0252675537109375, test_acc(top1) : 23.200000762939453, 
Epoch : 21, lr : 0.025, epoch_time : 7.530785882472992, train_loss : 2.0012688636779785, train_acc(top1) : 21.09000015258789, test_loss : 2.1263698120117187, test_acc(top1) : 19.299999237060547, 
Epoch : 22, lr : 0.025, epoch_time : 7.524834537506104, train_loss : 2.1732399463653564, train_acc(top1) : 22.13800048828125, test_loss : 2.291396202087402, test_acc(top1) : 17.059999465942383, 
Epoch : 23, lr : 0.025, epoch_time : 7.526282664140066, train_loss : 2.12302303314209, train_acc(top1) : 21.715999603271484, test_loss : 2.1496113693237304, test_acc(top1) : 21.469999313354492, 
