Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool3_40K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[7], resume=None, seed=345386, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 2.1501951932907106, train_loss : 1.5827418565750122, train_acc(top1) : 31.781999588012695, test_loss : 1.7645504943847656, test_acc(top1) : 37.029998779296875, 
Epoch : 2, lr : 0.1, epoch_time : 2.1390702088673907, train_loss : 1.3148208856582642, train_acc(top1) : 46.9900016784668, test_loss : 1.5142785598754882, test_acc(top1) : 47.2599983215332, 
Epoch : 3, lr : 0.1, epoch_time : 2.144455154736837, train_loss : 1.1910592317581177, train_acc(top1) : 56.316001892089844, test_loss : 1.4212136528015136, test_acc(top1) : 51.54999923706055, 
Epoch : 4, lr : 0.1, epoch_time : 2.1525602539380393, train_loss : 0.8330813646316528, train_acc(top1) : 61.875999450683594, test_loss : 1.3262070739746095, test_acc(top1) : 53.650001525878906, 
Epoch : 5, lr : 0.1, epoch_time : 2.143017872174581, train_loss : 0.9330427646636963, train_acc(top1) : 65.50800323486328, test_loss : 1.1216073219299316, test_acc(top1) : 61.33000183105469, 
Epoch : 6, lr : 0.1, epoch_time : 2.1463200728098553, train_loss : 0.8407347202301025, train_acc(top1) : 68.38200378417969, test_loss : 1.083590217590332, test_acc(top1) : 62.72999954223633, 
Epoch : 7, lr : 0.1, epoch_time : 2.1387524088223775, train_loss : 0.782366931438446, train_acc(top1) : 70.447998046875, test_loss : 0.8465885288238525, test_acc(top1) : 70.05999755859375, 
Epoch : 8, lr : 0.1, epoch_time : 2.1598403016726175, train_loss : 0.9647625088691711, train_acc(top1) : 71.46800231933594, test_loss : 0.9915415504455566, test_acc(top1) : 66.58999633789062, 
Epoch : 9, lr : 0.1, epoch_time : 2.1684720118840537, train_loss : 0.8975511789321899, train_acc(top1) : 72.29000091552734, test_loss : 0.9036394374847412, test_acc(top1) : 68.8499984741211, 
Epoch : 10, lr : 0.1, epoch_time : 2.1482662359873452, train_loss : 0.5785977244377136, train_acc(top1) : 73.27400207519531, test_loss : 0.7700956909179687, test_acc(top1) : 73.69000244140625, 
Epoch : 11, lr : 0.1, epoch_time : 2.1536586125691732, train_loss : 0.7386779189109802, train_acc(top1) : 73.86000061035156, test_loss : 0.8369429786682129, test_acc(top1) : 70.7699966430664, 
